"Var1","Var2","value"
"Cumulative 3-day pre-sampling-day precip (mm)","PMMV_logGCpermLsample",0.752617809006382
"log(Mean temp (K))","PMMV_logGCpermLsample",0.777300330757555
"Adeno_logGCpermLsample","uidA_logGCpermLsample",-0.48951048951049
"CrAss_logGCpermLsample","uidA_logGCpermLsample",0.846153846153846
"PMMV_logGCpermLsample","uidA_logGCpermLsample",-0.265734265734266
"uidA_logGCpermLsample","uidA_logGCpermLsample",1
"log(Raw Flow (MLD))","uidA_logGCpermLsample",0.323875137815648
"log(TS (mg/L))","uidA_logGCpermLsample",0.323875137815648
"pH_Grab","uidA_logGCpermLsample",-0.518200220505037
"log(Turbidity (NTU))","uidA_logGCpermLsample",-0.194325082689389
"log(TSS (mg/L))","uidA_logGCpermLsample",-0.409673245199351
"log(BOD (mg/L))","uidA_logGCpermLsample",-0.323875137815648
"log(cBOD (mg/L))","uidA_logGCpermLsample",-0.0341394370999459
"log(sCOD (mg/L))","uidA_logGCpermLsample",0.259100110252518
"log(COD (mg/L))","uidA_logGCpermLsample",0.259100110252518
"log(NH4-N (mg/L))","uidA_logGCpermLsample",-0.323875137815648
"log(NOx-N (mg/L))","uidA_logGCpermLsample",0.323875137815648
"log(PO4-P (mg/L))","uidA_logGCpermLsample",0.259100110252518
"log(TP (mg/L))","uidA_logGCpermLsample",-0.323875137815648
"log(TOC (mg/L))","uidA_logGCpermLsample",-0.323875137815648
"log(TN (mg/L))","uidA_logGCpermLsample",-0.323875137815648
"log(Grab Flow (MLD))","uidA_logGCpermLsample",0.388650165378777
"log(Grab Temp (C))","uidA_logGCpermLsample",0.716928179098865
"log(Filtered UVT_Grab (%))","uidA_logGCpermLsample",-0.259100110252518
"log(E-coli (MPN/mL))","uidA_logGCpermLsample",-0.307254933899514
"log(Fecal (MPN/mL))","uidA_logGCpermLsample",-0.518200220505037
"Cumulative 3-day pre-sampling-day precip (mm)","uidA_logGCpermLsample",0.0836242010007091
"log(Mean temp (K))","uidA_logGCpermLsample",0.323875137815648
"Adeno_logGCpermLsample","log(Raw Flow (MLD))",-0.410241841233154
"CrAss_logGCpermLsample","log(Raw Flow (MLD))",0.237508434398142
"PMMV_logGCpermLsample","log(Raw Flow (MLD))",0.777300330757555
"uidA_logGCpermLsample","log(Raw Flow (MLD))",0.323875137815648
"log(Raw Flow (MLD))","log(Raw Flow (MLD))",1
"log(TS (mg/L))","log(Raw Flow (MLD))",1
"pH_Grab","log(Raw Flow (MLD))",0.4
"log(Turbidity (NTU))","log(Raw Flow (MLD))",0.2
"log(TSS (mg/L))","log(Raw Flow (MLD))",-0.632455532033676
"log(BOD (mg/L))","log(Raw Flow (MLD))",-1
"log(cBOD (mg/L))","log(Raw Flow (MLD))",-0.948683298050514
"log(sCOD (mg/L))","log(Raw Flow (MLD))",-0.8
"log(COD (mg/L))","log(Raw Flow (MLD))",-0.8
"log(NH4-N (mg/L))","log(Raw Flow (MLD))",-1
"log(NOx-N (mg/L))","log(Raw Flow (MLD))",1
"log(PO4-P (mg/L))","log(Raw Flow (MLD))",0.8
"log(TP (mg/L))","log(Raw Flow (MLD))",0.6
"log(TOC (mg/L))","log(Raw Flow (MLD))",-1
"log(TN (mg/L))","log(Raw Flow (MLD))",-1
"log(Grab Flow (MLD))","log(Raw Flow (MLD))",0.4
"log(Grab Temp (C))","log(Raw Flow (MLD))",0.316227766016838
"log(Filtered UVT_Grab (%))","log(Raw Flow (MLD))",0.8
"log(E-coli (MPN/mL))","log(Raw Flow (MLD))",-0.948683298050514
