"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-03","2019","02","03","","-17.2","","-22.1","","-19.7","","37.7","","0.0","","","","","","1.2","","","","1","","35",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-04","2019","02","04","","-20.6","","-26.6","","-23.6","","41.6","","0.0","","","","","","2.6","","","","1","","39",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-05","2019","02","05","","-20.6","","-28.1","","-24.3","","42.3","","0.0","","","","","","0.2","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-06","2019","02","06","","-18.7","","-22.1","","-20.4","","38.4","","0.0","","","","","","2.1","","","","35","","32",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-07","2019","02","07","","-21.7","","-25.2","","-23.5","","41.5","","0.0","","","","","","0.0","","","","35","","40",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-08","2019","02","08","","-19.7","","-28.2","","-24.0","","42.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-09","2019","02","09","","-19.5","","-29.2","","-24.4","","42.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-10","2019","02","10","","-18.3","","-29.5","","-23.9","","41.9","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-11","2019","02","11","","-9.3","","-22.5","","-15.9","","33.9","","0.0","","","","","","0.8","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-12","2019","02","12","","-6.2","","-15.7","","-10.9","","28.9","","0.0","","","","","","1.9","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-13","2019","02","13","","-12.9","","-19.2","","-16.1","","34.1","","0.0","","","","","","2.2","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-14","2019","02","14","","-14.7","","-20.5","","-17.6","","35.6","","0.0","","","","","","0.0","","","","32","","33",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-15","2019","02","15","","-14.0","","-22.5","","-18.2","","36.2","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-16","2019","02","16","","-11.5","","-25.7","","-18.6","","36.6","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-17","2019","02","17","","-12.8","","-21.3","","-17.0","","35.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-18","2019","02","18","","-16.2","","-21.9","","-19.1","","37.1","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-19","2019","02","19","","-13.5","","-22.3","","-17.9","","35.9","","0.0","","","","","","0.0","","","","17","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-20","2019","02","20","","-7.3","","-17.4","","-12.4","","30.4","","0.0","","","","","","0.6","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-21","2019","02","21","","-8.7","","-14.6","","-11.7","","29.7","","0.0","","","","","","0.4","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-22","2019","02","22","","-10.9","","-17.1","","-14.0","","32.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-23","2019","02","23","","-5.7","","-17.8","","-11.8","","29.8","","0.0","","","","","","2.7","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-24","2019","02","24","","-10.0","","-23.5","","-16.8","","34.8","","0.0","","","","","","0.1","","","","33","","42",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-25","2019","02","25","","-16.6","","-26.1","","-21.3","","39.3","","0.0","","","","","","0.0","","","","","","",""
